2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1925: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1950: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 1975: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2000: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2025: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2050: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2075: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2100: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2125: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2150: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2175: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2200: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2225: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2250: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
2025-10-25 18:37:46 | ERROR | src.services.saliency_detector:_analyze_single_frame:550 | Error analyzing frame 2275: 'SAMSaliencyModel' object has no attribute 'analyze_frame'
